50.5927 	EXP 	New trial (rep=0, index=26): OrderedDict([('stimuli', 'P'), ('trial_type', 'non-target'), ('stimulus_onset', 49.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
50.6143 	EXP 	Stimuli: autoDraw = False
50.6143 	EXP 	Stimuli: autoDraw = False
50.6143 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
50.6143 	EXP 	Stimuli: height = 0.05
50.6143 	EXP 	Stimuli: height = 0.05
50.6143 	EXP 	Stimuli: height = 0.05
50.6143 	EXP 	Stimuli: text = 'P'
50.6143 	EXP 	Stimuli: height = 0.15
50.6143 	EXP 	Stimuli: autoDraw = True
50.6143 	EXP 	Stimuli: height = 0.15
50.6143 	EXP 	Stimuli: height = 0.15
50.6143 	EXP 	Stimuli: height = 0.15
50.6143 	EXP 	Stimuli: text = 'P'
51.8515 	DATA 	Keypress: escape
51.9242 	EXP 	run_experiment: status = STOPPED
51.9401 	EXP 	Stimuli: autoDraw = False
51.9403 	EXP 	run_experiment: status = STOPPED
51.9861 	EXP 	window1: mouseVisible = True
