50.5015 	EXP 	New trial (rep=0, index=25): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 49.6), ('block_type', '1-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
50.5290 	EXP 	Stimuli: autoDraw = False
50.5290 	EXP 	Stimuli: autoDraw = False
50.5290 	EXP 	Stimuli: height = 0.3
50.5290 	EXP 	Stimuli: height = 0.3
50.5290 	EXP 	Stimuli: height = 0.3
50.5290 	EXP 	Stimuli: text = '+'
50.5290 	EXP 	Stimuli: height = 0.1
50.5290 	EXP 	Stimuli: autoDraw = True
50.5290 	EXP 	Stimuli: height = 0.1
50.5290 	EXP 	Stimuli: height = 0.1
50.5290 	EXP 	Stimuli: height = 0.1
50.5290 	EXP 	Stimuli: text = '+'
50.7176 	EXP 	New trial (rep=0, index=26): OrderedDict([('stimuli', 'Z'), ('trial_type', 'target'), ('stimulus_onset', 49.8), ('block_type', '1-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
50.7394 	EXP 	Stimuli: autoDraw = False
50.7394 	EXP 	Stimuli: autoDraw = False
50.7394 	EXP 	Stimuli: height = 0.1
50.7394 	EXP 	Stimuli: height = 0.1
50.7394 	EXP 	Stimuli: height = 0.1
50.7394 	EXP 	Stimuli: text = 'Z'
50.7394 	EXP 	Stimuli: height = 0.3
50.7394 	EXP 	Stimuli: autoDraw = True
50.7394 	EXP 	Stimuli: height = 0.3
50.7394 	EXP 	Stimuli: height = 0.3
50.7394 	EXP 	Stimuli: height = 0.3
50.7394 	EXP 	Stimuli: text = 'Z'
53.5317 	EXP 	New trial (rep=0, index=27): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 52.6), ('block_type', '1-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
53.5527 	EXP 	Stimuli: autoDraw = False
53.5527 	EXP 	Stimuli: autoDraw = False
53.5527 	EXP 	Stimuli: height = 0.3
53.5527 	EXP 	Stimuli: height = 0.3
53.5527 	EXP 	Stimuli: height = 0.3
53.5527 	EXP 	Stimuli: text = '+'
53.5527 	EXP 	Stimuli: height = 0.1
53.5527 	EXP 	Stimuli: autoDraw = True
53.5527 	EXP 	Stimuli: height = 0.1
53.5527 	EXP 	Stimuli: height = 0.1
53.5527 	EXP 	Stimuli: height = 0.1
53.5527 	EXP 	Stimuli: text = '+'
53.7480 	EXP 	New trial (rep=0, index=28): OrderedDict([('stimuli', 'Z'), ('trial_type', 'target'), ('stimulus_onset', 52.8), ('block_type', '1-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
53.7666 	EXP 	Stimuli: autoDraw = False
53.7666 	EXP 	Stimuli: autoDraw = False
53.7666 	EXP 	Stimuli: height = 0.1
53.7666 	EXP 	Stimuli: height = 0.1
53.7666 	EXP 	Stimuli: height = 0.1
53.7666 	EXP 	Stimuli: text = 'Z'
53.7666 	EXP 	Stimuli: height = 0.3
53.7666 	EXP 	Stimuli: autoDraw = True
53.7666 	EXP 	Stimuli: height = 0.3
53.7666 	EXP 	Stimuli: height = 0.3
53.7666 	EXP 	Stimuli: height = 0.3
53.7666 	EXP 	Stimuli: text = 'Z'
56.5624 	EXP 	New trial (rep=0, index=29): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 55.6), ('block_type', '1-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
56.5823 	EXP 	Stimuli: autoDraw = False
56.5823 	EXP 	Stimuli: autoDraw = False
56.5823 	EXP 	Stimuli: height = 0.3
56.5823 	EXP 	Stimuli: height = 0.3
56.5823 	EXP 	Stimuli: height = 0.3
56.5823 	EXP 	Stimuli: text = '+'
56.5823 	EXP 	Stimuli: height = 0.1
