23.6288 	EXP 	New trial (rep=0, index=15): OrderedDict([('stimuli', 'H'), ('trial_type', 'non-target'), ('stimulus_onset', 23.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
23.6514 	EXP 	Stimuli: autoDraw = False
23.6514 	EXP 	Stimuli: autoDraw = False
23.6514 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
23.6514 	EXP 	Stimuli: height = 0.05
23.6514 	EXP 	Stimuli: height = 0.05
23.6514 	EXP 	Stimuli: height = 0.05
23.6514 	EXP 	Stimuli: text = 'H'
23.6514 	EXP 	Stimuli: height = 0.15
23.6514 	EXP 	Stimuli: autoDraw = True
23.6514 	EXP 	Stimuli: height = 0.15
23.6514 	EXP 	Stimuli: height = 0.15
23.6514 	EXP 	Stimuli: height = 0.15
23.6514 	EXP 	Stimuli: text = 'H'
26.4432 	EXP 	New trial (rep=0, index=16): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 25.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
26.4665 	EXP 	Stimuli: autoDraw = False
26.4665 	EXP 	Stimuli: autoDraw = False
26.4665 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
26.4665 	EXP 	Stimuli: height = 0.15
26.4665 	EXP 	Stimuli: height = 0.15
26.4665 	EXP 	Stimuli: height = 0.15
26.4665 	EXP 	Stimuli: text = '+'
26.4665 	EXP 	Stimuli: height = 0.05
26.4665 	EXP 	Stimuli: autoDraw = True
26.4665 	EXP 	Stimuli: height = 0.05
26.4665 	EXP 	Stimuli: height = 0.05
26.4665 	EXP 	Stimuli: height = 0.05
26.4665 	EXP 	Stimuli: text = '+'
26.6598 	EXP 	New trial (rep=0, index=17): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 26.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
26.6816 	EXP 	Stimuli: autoDraw = False
26.6816 	EXP 	Stimuli: autoDraw = False
26.6816 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
26.6816 	EXP 	Stimuli: height = 0.05
26.6816 	EXP 	Stimuli: height = 0.05
26.6816 	EXP 	Stimuli: height = 0.05
26.6816 	EXP 	Stimuli: text = 'X'
26.6816 	EXP 	Stimuli: height = 0.15
26.6816 	EXP 	Stimuli: autoDraw = True
26.6816 	EXP 	Stimuli: height = 0.15
26.6816 	EXP 	Stimuli: height = 0.15
26.6816 	EXP 	Stimuli: height = 0.15
26.6816 	EXP 	Stimuli: text = 'X'
29.4742 	EXP 	New trial (rep=0, index=18): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 28.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
29.4972 	EXP 	Stimuli: autoDraw = False
29.4972 	EXP 	Stimuli: autoDraw = False
29.4972 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
29.4972 	EXP 	Stimuli: height = 0.15
29.4972 	EXP 	Stimuli: height = 0.15
29.4972 	EXP 	Stimuli: height = 0.15
29.4972 	EXP 	Stimuli: text = '+'
29.4972 	EXP 	Stimuli: height = 0.05
29.4972 	EXP 	Stimuli: autoDraw = True
29.4972 	EXP 	Stimuli: height = 0.05
29.4972 	EXP 	Stimuli: height = 0.05
29.4972 	EXP 	Stimuli: height = 0.05
29.4972 	EXP 	Stimuli: text = '+'
29.6905 	EXP 	New trial (rep=0, index=19): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 29.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
29.7122 	EXP 	Stimuli: autoDraw = False
29.7122 	EXP 	Stimuli: autoDraw = False
29.7122 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
29.7122 	EXP 	Stimuli: height = 0.05
29.7122 	EXP 	Stimuli: height = 0.05
29.7122 	EXP 	Stimuli: height = 0.05
29.7122 	EXP 	Stimuli: text = 'X'
29.7122 	EXP 	Stimuli: height = 0.15
29.7122 	EXP 	Stimuli: autoDraw = True
29.7122 	EXP 	Stimuli: height = 0.15
29.7122 	EXP 	Stimuli: height = 0.15
29.7122 	EXP 	Stimuli: height = 0.15
29.7122 	EXP 	Stimuli: text = 'X'
32.5044 	EXP 	New trial (rep=0, index=20): OrderedDict([('stimuli', '+'), ('trial_type', 'rest'), ('stimulus_onset', 31.8), ('block_type', 'rest'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 10.0), ('cor_res', None)])
32.5366 	EXP 	Stimuli: autoDraw = False
32.5366 	EXP 	Stimuli: autoDraw = False
32.5366 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
32.5366 	EXP 	Stimuli: height = 0.15
32.5366 	EXP 	Stimuli: height = 0.15
32.5366 	EXP 	Stimuli: height = 0.15
32.5366 	EXP 	Stimuli: text = '+'
32.5366 	EXP 	Stimuli: height = 0.05
32.5366 	EXP 	Stimuli: autoDraw = True
32.5366 	EXP 	Stimuli: height = 0.05
32.5366 	EXP 	Stimuli: height = 0.05
32.5366 	EXP 	Stimuli: height = 0.05
32.5366 	EXP 	Stimuli: text = '+'
42.5293 	EXP 	New trial (rep=0, index=21): OrderedDict([('stimuli', 'png'), ('trial_type', 'cue'), ('stimulus_onset', 41.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'blue'), ('stimulus_duration', 2.0), ('cor_res', None)])
42.5526 	EXP 	Stimuli: autoDraw = False
42.5526 	EXP 	Stimuli: autoDraw = False
42.5526 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
42.5526 	EXP 	Stimuli: height = 0.05
42.5526 	EXP 	Stimuli: height = 0.05
42.5526 	EXP 	Stimuli: height = 0.05
42.5526 	EXP 	Stimuli: text = 'png'
42.5526 	EXP 	Stimuli: height = 0.15
42.5526 	EXP 	Stimuli: autoDraw = True
42.5526 	EXP 	Stimuli: height = 0.15
42.5526 	EXP 	Stimuli: height = 0.15
42.5526 	EXP 	Stimuli: height = 0.15
42.5526 	EXP 	Stimuli: text = 'png'
44.5448 	EXP 	New trial (rep=0, index=22): OrderedDict([('stimuli', 'P'), ('trial_type', 'non-target'), ('stimulus_onset', 43.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
44.5640 	EXP 	Stimuli: autoDraw = False
44.5640 	EXP 	Stimuli: autoDraw = False
44.5640 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
44.5640 	EXP 	Stimuli: height = 0.15
44.5640 	EXP 	Stimuli: height = 0.15
44.5640 	EXP 	Stimuli: height = 0.15
44.5640 	EXP 	Stimuli: text = 'P'
44.5640 	EXP 	Stimuli: height = 0.15
44.5640 	EXP 	Stimuli: autoDraw = True
44.5640 	EXP 	Stimuli: height = 0.15
44.5640 	EXP 	Stimuli: height = 0.15
44.5640 	EXP 	Stimuli: height = 0.15
44.5640 	EXP 	Stimuli: text = 'P'
47.3590 	EXP 	New trial (rep=0, index=23): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 46.6), ('block_type', '1-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
47.3817 	EXP 	Stimuli: autoDraw = False
47.3817 	EXP 	Stimuli: autoDraw = False
47.3817 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
47.3817 	EXP 	Stimuli: height = 0.15
47.3817 	EXP 	Stimuli: height = 0.15
47.3817 	EXP 	Stimuli: height = 0.15
47.3817 	EXP 	Stimuli: text = '+'
47.3817 	EXP 	Stimuli: height = 0.05
47.3817 	EXP 	Stimuli: autoDraw = True
47.3817 	EXP 	Stimuli: height = 0.05
47.3817 	EXP 	Stimuli: height = 0.05
47.3817 	EXP 	Stimuli: height = 0.05
47.3817 	EXP 	Stimuli: text = '+'
47.5752 	EXP 	New trial (rep=0, index=24): OrderedDict([('stimuli', 'P'), ('trial_type', 'target'), ('stimulus_onset', 46.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
47.5968 	EXP 	Stimuli: autoDraw = False
47.5968 	EXP 	Stimuli: autoDraw = False
47.5968 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
47.5968 	EXP 	Stimuli: height = 0.05
47.5968 	EXP 	Stimuli: height = 0.05
47.5968 	EXP 	Stimuli: height = 0.05
47.5968 	EXP 	Stimuli: text = 'P'
47.5968 	EXP 	Stimuli: height = 0.15
47.5968 	EXP 	Stimuli: autoDraw = True
47.5968 	EXP 	Stimuli: height = 0.15
47.5968 	EXP 	Stimuli: height = 0.15
47.5968 	EXP 	Stimuli: height = 0.15
47.5968 	EXP 	Stimuli: text = 'P'
50.3894 	EXP 	New trial (rep=0, index=25): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 49.6), ('block_type', '1-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
50.4097 	EXP 	Stimuli: autoDraw = False
50.4097 	EXP 	Stimuli: autoDraw = False
50.4097 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
50.4097 	EXP 	Stimuli: height = 0.15
50.4097 	EXP 	Stimuli: height = 0.15
50.4097 	EXP 	Stimuli: height = 0.15
50.4097 	EXP 	Stimuli: text = '+'
50.4097 	EXP 	Stimuli: height = 0.05
50.4097 	EXP 	Stimuli: autoDraw = True
50.4097 	EXP 	Stimuli: height = 0.05
50.4097 	EXP 	Stimuli: height = 0.05
50.4097 	EXP 	Stimuli: height = 0.05
50.4097 	EXP 	Stimuli: text = '+'
50.6058 	EXP 	New trial (rep=0, index=26): OrderedDict([('stimuli', 'P'), ('trial_type', 'target'), ('stimulus_onset', 49.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
50.6251 	EXP 	Stimuli: autoDraw = False
50.6251 	EXP 	Stimuli: autoDraw = False
50.6251 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
50.6251 	EXP 	Stimuli: height = 0.05
50.6251 	EXP 	Stimuli: height = 0.05
50.6251 	EXP 	Stimuli: height = 0.05
50.6251 	EXP 	Stimuli: text = 'P'
50.6251 	EXP 	Stimuli: height = 0.15
50.6251 	EXP 	Stimuli: autoDraw = True
50.6251 	EXP 	Stimuli: height = 0.15
50.6251 	EXP 	Stimuli: height = 0.15
50.6251 	EXP 	Stimuli: height = 0.15
50.6251 	EXP 	Stimuli: text = 'P'
53.4210 	EXP 	New trial (rep=0, index=27): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 52.6), ('block_type', '1-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
53.4478 	EXP 	Stimuli: autoDraw = False
